time,collected_at,pm2_5,pm10,co,temp,humidity,wind,pressure
2026-08-27T19:00,2026-08-27T19:00:52+06:00,13.4,13.8,176.0,28.0,36,6.0,1009.0
2026-08-28T01:00,2026-08-28T01:19:16+06:00,16.1,16.2,381.0,19.4,58,4.6,1008.8
2026-08-28T09:00,2026-08-28T09:39:36+06:00,16.0,16.6,221.0,26.3,32,1.3,1010.9
2026-08-28T22:00,2026-08-28T22:53:22+06:00,8.3,8.4,223.0,22.5,46,6.9,1010.7
2026-08-29T07:00,2026-08-29T07:08:06+06:00,6.8,6.9,157.0,20.2,45,11.2,1012.6
2026-08-29T14:00,2026-08-29T14:16:39+06:00,4.6,7.3,112.0,31.0,22,12.0,1010.9
2026-08-29T19:00,2026-08-29T19:59:09+06:00,6.0,8.4,141.0,26.2,31,6.0,1011.4
2026-08-29T23:00,2026-08-29T23:51:21+06:00,9.8,10.7,354.0,22.1,47,0.6,1011.7
2026-08-30T03:00,2026-08-30T03:07:57+06:00,11.1,11.8,304.0,19.7,56,3.9,1010.9
2026-08-30T05:00,2026-08-30T05:34:18+06:00,8.6,8.7,259.0,19.0,50,3.2,1010.8
2026-08-30T07:00,2026-08-30T07:36:30+06:00,8.6,8.6,220.0,20.0,51,3.3,1011.4
2026-08-30T13:00,2026-08-30T13:21:40+06:00,5.0,5.1,130.0,31.2,24,6.4,1009.7
2026-08-30T19:00,2026-08-30T19:13:56+06:00,7.5,8.5,140.0,29.6,29,8.3,1009.3
2026-08-30T23:00,2026-08-30T23:44:34+06:00,10.9,11.1,292.0,24.4,42,2.9,1009.0
2026-08-31T03:00,2026-08-31T03:28:32+06:00,10.4,11.0,154.0,20.9,48,5.5,1006.6
2026-08-31T05:00,2026-08-31T05:47:25+06:00,6.6,6.8,121.0,20.0,48,2.2,1006.4
